"","x"
"36","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
2018 한경 이공계 대학 평가(4)·끝 평판도 순위 분석연세대, 4개 항목서 2위고려대는 조직친화력 1위KAIST, 연구중심대학 저력非서울권은 인하대·부산대 順[ 장현주 기자  ] '2018 한경 이공계 대학 평가' 평판도 조사(정성평가)에서 SKY 강세는 여전했다. 사진은 일자리 박람회를 찾은 대학 예비 졸업생 및 졸업생들. 한경DB올해 주요 대기업의 정기 임원승진 심사에서 SKY대(서울대, 고려대, 연세대) 출신의 약진은 여전했다. 삼성전자 계열 6개사, LG그룹, SK그룹의 부사장급 이상 승진자 81명 중 43명이 SKY 출신인 것으로 파악됐다. 삼성전자의 부사장 이상 승진자 37명 중 SKY 출신은 18명으로 48.7%에 이른다. 법조계도 예외는 아니다. 로스쿨(법학전문대학원) 출범 후 임명된 검사 70%가 SKY 학부 출신인 것으로 나타났다. 경제, 법조, 정치, 학계 등 사회 각계각층에서 SKY 출신의 강세는 여전하다는 게 전문가들의 설명이다.한국경제신문이 조사한 ‘2018 이공계 대학평가’의 평판도 조사(정성평가)에서 SKY 졸업생 선호는 두드러졌다. 서울대는 모든 직군과 기업의 평판도 조사에서 가장 좋은 평가를 받았다. 4년 연속 1위 자리를 지켰다. 연세대 고려대 KAIST 한양대가 2~5위로 지난해와 같은 순위를 차지했다.대기업·벤처·중소기업, 서울대 가장 선호서울대는 공공기관, 대기업, 정보기술(IT)·바이오벤처기업, 중소기업 등 모든 기업의 평판도 평가에서 1위를 차지했다. 조직친화력을 제외한 창의적 문제해결 방식, 전공이론 이해수준, 발전 가능성, 기술개발 역량, 인문학적 소양, 채용 희망 등 6개 분야에서 가장 높은 점수를 받았다. 종합 점수는 서울대가 49.6점으로 1위, 연세대(44.9점)와 고려대(44.5점)가 2, 3위를 차지했다.최성현 서울대 공대 교무부학장은 “서울대는 같은 단과대라도 학과 특성을 최대한 살릴 수 있도록 지원한다”며 “공대를 예로 들면 문과적 특성이 있는 산업공학과는 글쓰기·말하기 관련 수업을 필수적으로 일정 학점 이상 수강해야 한다”고 말했다. 이어 “‘창의공학설계’ 강의 등 폭넓은 사고를 키울 수 있도록 설계된 수업을 제공해 창의적 문제해결 방식을 자연스럽게 익히도록 지원한 것도 대기업과 벤처·중소기업으로부터 가장 좋은 평가를 받을 수 있게 한 원동력”이라고 강조했다.현장기술직 설문에서도 서울대는 가장 선호하는 대학으로 나타났다. 이어 연세대 고려대 한양대 KAIST 순으로 높은 점수를 얻었다. 특히 한양대는 조직친화력(3위), 창의적 문제해결 방식(4위), 채용희망(4위) 등에서 좋은 평가를 받아 종합만족도 순위인 5위에서 한 단계 오른 4위를 기록했다.2위는 연세대, 대기업 선호도는 고려대연세대는 평판도 종합점수 44.9점으로 고려대(44.5점)를 근소한 차이로 앞서며 2위에 올랐다. 연세대는 조직친화력, 창의적 문제해결 방식, 전공이론 이해수준, 인문학적 소양 등 4개 항목에서 2위를 차지하는 등 전반적으로 높은 평가를 받았다. 기업 유형별로는 공공기관, IT·바이오벤처기업, 중소기업에서 2위를 차지했다. 연세대는 대학을 둘러싼 급격한 환경 변화에 대응하기 위해 최근 포스텍(포항공대)과 교육·연구·산학 분야를 아우르는 전면적 협력체계를 구축하는 등 새로운 협력모델을 적극적으로 진행하고 나섰다. △바이오·미래도시 등 신사업 분야 연구협력 △공동 학위 추진 △블록체인 캠퍼스 가동 등이 협약의 골자다.고려대는 대기업 평판도에서 연세대를 앞질렀다. 소통 및 조직친화력 항목은 46.6점으로 연세대(43.2점), 한양대(41.4점), 서울대(34.7점)를 제치고 가장 높은 자리에 올랐다. 고려대는 채용 희망 항목에서도 서울대에 이어 2위에 올랐다. 고려대 관계자는 “오랫동안 쌓아온 고려대 특유의 친화적 학풍이 조직친화력과 채용희망 항목에서 높은 점수를 얻을 수 있었던 배경”이라고 설명했다.4위에 오른 KAIST는 연구역량 발전 가능성, 실용 연구 및 기술개발 역량 등에서 2위에 올라 이공계 연구중심대학의 저력을 보여줬다. 교수들 역시 KAIST를 서울대에 이어 2위로 꼽을 정도로 학계로부터 긍정적인 평가를 받았다. KAIST는 설립 60주년인 2031년까지 ‘세계 10위권 대학 진입’을 선언하는 등 혁신 드라이브를 가속화하고 있다.비서울권 대학 가운데 평판도가 상위권으로 조사된 부산대에서 학생들이 실험 실습에 열중하고 있다. 부산대 제공비서울권 대학은 단연 인하대·부산대비(非)서울권 대학 가운데서는 인하대· 부산대의 약진이 눈에 띄었다. 평판도 조사에서 각각11위와 12위를 차지하며 비서울권 대학 중 높은 평가를 받았다. 경북대가 그 뒤를 이었다. 부산대는 IT·바이오벤처기업(10위)과 교수(10위)의 선호도가 두드러졌다. △조직친화력(11위) △전공이론 이해수준(11위) △기술개발 역량(12위) 등에서 경쟁력을 갖췄다는 분석이다. 부산대는 2016년 현대자동차 임원을 가장 많이 배출한 학교로 꼽히기도 했다. 포스코 임원도 두 번째로 많이 배출했다. 부산대 관계자는 “사물인터넷(IoT)·정보통신기술(ICT), 첨단바이오융합, 스마트신소재, 원전재난안전, 해양자원 등 5대 학문 분야에 대한 로드맵을 구성해 세계적인 수준의 연구중심대학으로 거듭날 것”이라고 말했다.인하대는 산학협력을 통한 실무형 인재 양성에 힘을 쏟고 있다. 인하대 산학협력단이 운영하는 ‘떴다! 아이디어 경진대회’가 대표적이다. 동문 기업의 애로사항을 재학생의 참신한 아이디어로 해결하기 위해 마련한 대회다. 인하대는 지난 5월 중소·벤처기업과 산학협력을 활성화하는 ‘지역 중소기업 R&D(연구개발) 산업인턴 지원 사업’에 2회 연속으로 선정되기도 했다.장현주 기자 blacksea@hankyung.com[한경닷컴 바로가기] [글방] [모바일한경 구독신청] ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지
	
	"
"37","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
재판관 8:1 의견 “근로자의 건강권 확보, 국가의 보호의무 있어”조용호 재판관 소수의견···“공정한 경쟁 막고 직업수행 자유 침해”지난 3월 6일 오전 서울 종로구 헌법재판소 앞에서 열린 ‘유통산업발전법 제12조 2 위헌소원 심리 관련 기자회견에서 강규혁 전국서비스산업노조연맹 위원장이 대형마트의무휴업에 반대하는 헌법 소송을 낸 기업을 비판하는 발언을 하고 있다./출처=연합뉴스[서울경제] 대형마트가 새벽 영업을 못 하도록 하고, 한 달에 이틀 이상 의무적으로 휴업하도록 한 유통산업 발전법이 헌법에 어긋나지 않는다는 헌법재판소의 결정이 나왔다. 이마트 등 대형마트 7곳이 유통산업 발전법 12조의2 1∼3항이 헌법에 어긋난다며 낸 헌법소원 사건에서 28일 헌재는 재판관 8대 1 의견으로 합헌 결정했다. 유통발전법 12조의2는 지자체장이 오전 0시부터 오전 10시까지 대형마트의 영업시간을 제한할 수 있도록 하고, 매월 이틀을 의무휴업일로 지정할 수 있도록 규정한다. 2013년 1월부터 시행된 이 법은 마트 직원에게 휴식을 보장하고, 전통시장과 중소 상인들을 보호한다는 취지로 도입됐다. 인천 중구청과 부천시, 청주시는 이 규정을 근거로 2013년 지역 내 대형마트에 오전 0시부터 오전 8시 또는 10시까지 영업을 제한하는 동시에 매월 둘째 주와 넷째 주를 의무휴업일로 지정했고, 대형마트 측은 헌법소원을 냈다.헌재는 “강한 자본력을 가진 소수 대형 유통업체 등의 독과점에 의한 유통시장 거래질서 왜곡을 방지하고, 건전한 유통질서를 확립하는 것을 입법 목적으로 한다”며 “헌법에 규정된 경제영역에서의 국가목표 등을 구체화한 공익으로 정당성이 인정된다”고 판단했다. 또 “해당 조항으로 전통시장 등의 매출 증대에 실제 효과가 거의 없거나 미미하다고 단정할 만한 자료는 없다”며 “대형마트 등의 경제적 손실과 소비자의 불편 등도 생길 수 있으나 입법 목적 달성을 위해 필요 최소한 범위에 그치고 있다”고 봤다. 아울러 “대형 유통업체에 종사하는 근로자의 건강권 확보 또한 국가의 보호의무가 인정되는 공익”이라고 밝혔다.다만 조용호 재판관은 이 조항에 대해 “경쟁의 촉진이 아닌 경쟁자를 보호하기 위한 경제적 규제”라며 “그 자체로서 자유롭고 공정한 경쟁을 불가능하게 하고, 자유시장 경제 질서의 근간을 흔드는 것”이라며 반대의견을 냈다. 조 재판관은 “대형마트 등 운영자의 직업수행 자유를 상당 부분 제한해 그들의 매출액 감소를 초래한다”며 “해당 조항으로 달성할 수 있는 공익인 전통시장 등의 보호 효과는 거의 없거나 있다고 하더라도 미미한 데 비해 제한·침해되는 공익은 월등하게 크다”고 밝혔다.  /홍승희인턴기자 shhs9501@sedaily.com[서울경제 바로가기]이제 주식시세도 서울경제에서 확인하세요 [바로가기▶]블록체인의 모든 것, 서울경제 Decenter [바로가기▶]저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지
	
	"
"38","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
수도권 대기법으로 최대 50% 할인 저공해차량, 주차시스템이 자동인식【서울=뉴시스】추상철 기자 =한국공항공사는 28일 김포를 비롯한 전국 10개 공항 주차장을 이용하는 저공해차량은 별도의 인증스티커 없이도 주차요금을 최대 50%까지 할인받을 수 있다고 밝혔다. 사진은 김포공항 주차장의 모습. 2018.06.28. scchoo@newsis.com【서울=뉴시스】홍찬선 기자 = 김포를 비롯한 전국 10개 공항 주차장을 이용하는 저공해차량은 별도의 인증 스티커 없이도 주차요금을 최대 50%까지 할인받을 수 있게 된다.한국공항공사는 지난 20일부터 시행된 수도권 대기환경개선에 관한 특별법에 따라 저공해차량에 대해 주차요금을 최대 50%까지 할인한다고 28일 밝혔다.이번 할인 서비스는 국내 공항 주차관리시스템과 환경부의 친환경경차 종합정보 지원시스템을 서로 연동한 것으로 해당 차량은 별도의 저공해 인증스티커 없이도, 공항 주차시스템이 차량번호를 자동으로 인식해 주차요금을 할인받게 된다.김포는 지난 14일 김해와 제주는 27일부터 서비스를 시작했으며 대구, 청주, 광주, 울산, 여수, 군산, 원주공항은 오는 28일 할인 서비스를 실시할 예정이다.공사 임귀섭 운영본부장은 ""앞으로 공공데이터베이스 활용 범위를 넓혀 경차, 장애인, 국가유공자에 대한 자동 요금 할인 등도 적극적으로 추진할 예정""이라고 말했다.mania@newsis.com▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 ▶ 뉴시스 SNS [페이스북] [트위터]"
"39","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
‘여대야소’ 전면 재편...시민 참여·역할론 대두뉴스1 DB ⓒ News1 최창호 기자(경기=뉴스1) 조정훈 기자 = 개원을 코앞에 둔 경기도내 31개 시·군 의회가 4년 전과 비교해 대변혁 수준의 ‘여대야소’ 정치 지형으로 전면 재편됐다.무려 29곳이 여당의 시장 군수로 채워진 것과 관련해 유기적인 협조 발판이 마련됐다는 기대와 함께 집행부에 대한 견제 기능이 약화 혹은 사라질 수 있다는 우려가 교차한다. 그 어느 때보다 시민들의 관심, 참여, 역할이 중요하다는 목소리가 대두되고 있다. 28일 선관위 등에 따르면 이번 민선 7기 지역구 기초의원 당선인 390명 중 252명이 민주당 소속이다. 한국당 128명, 미래당 3명, 정의당 3명, 민중당 2명, 무소속 2명 순이다.비례대표 기초의원은 총 57명 중 민주당이 37명을 획득했다. 한국당 16명, 정의당 2명, 미래당 1명 순이다.비례대표를 포함할 경우 전체 기초의원 446명 중 민주당이 무려 289명을 확보했고 한국당 144명, 정의당 5명, 미래당 4명, 민중당 2명, 무소속 2명을 차지했다.이는 도내 31개 시·군의회 중 양평을 제외한 30곳에서 민주당이 다수당의 지위를 확보하는 결과를 낳았다.지난 민선 6기 지방의회가 비교적 균형을 형성했던 상황과는 극명히 대조된다.   2014년 6·4 지방선거 당시 지역구 기초의원 총 376명 중 새누리당(한국당 전신) 184명, 새정치민주연합(민주당 전신) 182명이 당선돼 양 당이 비슷한 수준의 의석수를 확보했다. 정의당 2명, 진보당 1명, 무소속 7명 이었다. 비례대표 기초의원은 총 55명 중 새누리당 30명, 새정치연합 25명이 각각 의석을 차지했었다. 민선 6기 때와 전혀 다른 분위기 속에 민선 7기 의회 개원을 맞이하는 여야 의원들의 표정은 사뭇 엇갈린다. 야당의 한 시의원 당선인은 “여당이 지자체와 지방의회 모두를 장악하게 됐다. 행정의 일방 독주가 우려를 넘어 현실이 될 가능성이 농후해졌다”며 “의회가 집행부를 견제, 감시하지 못하고 거수기로 전락하지 않도록 견의정 활동에 집중할 것”이라고 말했다.반면 여당의 시의원 당선인은 “그동안 의회가 어땠는가 여야 싸움으로 몸살을 앓았고 자리다툼과 집행부 발목잡기에 혈안이 돼 정작 의정활동은 뒤 전 아니었나”라며 “낮은 자세로 시민들과 소통하는 등 책임있는 의정 활동을 펼칠 수 있게 됐다”고 강조했다.   한 시민은 “선거기간 당선인들은 너나 없이 열린 시정과 협치를 최우선 과제로 공언한 만큼 일단 기대가 크다”며 “여대야소 형국 속에 시민들은 집행부와 의회가 잘 운영되는지에 대해 관심을 갖고 직접 참여하는 면모를 발휘해야 한다”고 전했다. 또 다른 시민은 “선거 결과를 보면 현행 정당공천제가 소수 정당의 지방의회 진출을 방해하고 있는 측면이 분명히 있다. 선거제도를 개편할 필요성이 커 보인다”고 말했다.  jjhjip@news1.kr▶ [뉴스1] 채널설정하기 ▶ 제보하기▶ 2018 러시아 월드컵 기사보기[ⓒ 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]
	
	"
"40","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
[광주 CBS 박요진 기자]강진에서 실종된 여고생이 8일 만에 숨진 채 발견된 가운데 경찰이 유류품 수색 작업에 사용하기 위해 인근 경찰서에서 빌려온 금속탐지기 중 일부가 작동이 안 됐던 것으로 드러나 빈축을 샀다.전남 강진경찰서는 지난 25일 시신의 신원이 실종자 A(16·여)양으로 확인된 이후 A양의 휴대전화나 옷 등의 유류품을 찾는 수색 작업에 총력을 기울이고 있다고 밝혀왔다.하지만 경찰이 수색 작업을 위해 준비한 7대의 금속탐지기 가운데 2대가 아예 작동이 안 되면서 수색 작업에 투입조차 되지 못했다.경찰 주변에서는 ""수색 작업이 시작된 지 10일이 넘어가는 데다 비까지 내리면서 지쳐가는 경찰관들이 많은 상황""이라며 ""경찰이 고장 난 금속탐지기를 빌려오는 모습을 보면 과연 경찰이 수색 의지가 있는 것인지 의문스럽다""는 질타의 목소리가 이어지고 있다.▶ 이시각 주요뉴스▶ 기자와 카톡 채팅하기▶ 노컷뉴스 영상 구독하기truth@cbs.co.kr저작권자 ⓒ CBS 노컷뉴스 무단전재 및 재배포 금지
	
	"
"41","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
[광주 CBS 박요진 기자]강진에서 실종된 여고생이 8일 만에 숨진 채 발견된 가운데 경찰이 유류품 수색 작업에 사용하기 위해 인근 경찰서에서 빌려온 금속탐지기 중 일부가 작동이 안 됐던 것으로 드러나 빈축을 샀다.전남 강진경찰서는 지난 25일 시신의 신원이 실종자 A(16·여)양으로 확인된 이후 A양의 휴대전화나 옷 등의 유류품을 찾는 수색 작업에 총력을 기울이고 있다고 밝혀왔다.하지만 경찰이 수색 작업을 위해 준비한 7대의 금속탐지기 가운데 2대가 아예 작동이 안 되면서 수색 작업에 투입조차 되지 못했다.경찰 주변에서는 ""수색 작업이 시작된 지 10일이 넘어가는 데다 비까지 내리면서 지쳐가는 경찰관들이 많은 상황""이라며 ""경찰이 고장 난 금속탐지기를 빌려오는 모습을 보면 과연 경찰이 수색 의지가 있는 것인지 의문스럽다""는 질타의 목소리가 이어지고 있다.▶ 이시각 주요뉴스▶ 기자와 카톡 채팅하기▶ 노컷뉴스 영상 구독하기truth@cbs.co.kr저작권자 ⓒ CBS 노컷뉴스 무단전재 및 재배포 금지
	
	"
"42","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
""세월호 미수습자 5명 가족 품으로 돌려보내자"" 마지막 선체수색 작업[광주CBS 조시영 기자](사진=조시영 기자)장마와 무더운 날씨 속에서도 세월호가 거치된 전남 목포에서는 미수습자를 찾기 위한 마지막 선체 수색 작업이 이어지고 있다.장맛비가 추적추적 내린 28일 목포신항에 거치된 세월호 선체 안.인양 초기 각종 유류품과 펄로 가득 찼던 선체 내부는 어느덧 텅 빈 상태로 변했다.선체 내부는 침몰한 이후 인양, 선체 직립 작업을 거친 4년 동안의 세월의 흔적이 역력했다.갈라지고 찢겨지고, 녹쓸어 형체를 알아볼 수 없는 공간들.단원고 학생들이 마지막으로 뛰놀았을 객실도 이제는 앙상한 철골 구조물만 남았다.세월호 선체 좌현 부분은 더욱 처참했다. 비교적 온전한 세월호 선체 우현과 비교하면 침몰 과정에서 짓눌려 형체를 도무지 알아 볼 수 없는 상황이다.짓눌린 협착 부위는 세월호 선체 2층에서 3층, 그리고 4층으로 올라갈수록 심했다.세월호 선체 좌현을 중심으로 세월호 희생자 304명 가운데 아직도 가족 품으로 돌아오지 못한 5명을 찾는 작업이 진행 중이다. 단원고 남현철, 박영인 학생, 양승진 교사, 권재근 씨, 권혁규 군.해양수산부는 세월호 선체 좌현과 지금까지 출입구가 협소해 진입이 힘들었던 기관 구역 등 4년 동안 손길이 닿지 않은 잔여구역에 대한 추가 수색을 진행하고 있다.이번이 마지막 수색 작업이다.지난 5월 10일 세월호 선체를 똑바로 세운 뒤 진입로 확보와 조명 설치 등 준비 작업을 거쳐 지난 25일 마지막 수색작업이 시작돼 이날로 나흘째 수색이 진행되고 있다.특히 이날 세월호 기관실이 사상 최초로 언론에 공개됐다.세월호 기관 구역은 입구가 협소해 그동안 진입이 어려웠다. 직립 이후에도 내부에 가득찬 펄 탓에 본격적인 수색 작업은 최근에서야 이뤄졌다.해수부는 마지막 수색 작업을 완벽하게 하기 위해 유가족들의 동의를 받고 선체 외부 철판 일부를 제거하기로 했다.이를 위해 철판을 제거할 부분의 구조물이 안전한지 검토 중이다. 결과는 오는 7월 4일쯤 나올 예정이다.그때까지도 그동안 손길이 미치지 못했던 곳에 대한 수색과 펄 제거 작업을 계속 이어간다. 마지막 미수습자 수색은 오는 8월 23일까지 진행된다.세월호 선체 직립이 이뤄진 지난 5월 10일 이후 미수습자의 유해는 아직 발견되지 않았다.현재까지 수습된 유류품은 의류 113점, 가방 25점, 신발 26점, 전자기기 19점, 핸드폰 14점, 안경 13점, 잡동사니 29점 등 모두 239점이다.마지막 수색 작업이 시작된 이번주에만 지갑 등 유류품 4점이 추가로 발견되기도 했다.잇따른 유류품 발견으로 미수습자를 찾을 수 있다는 선체 수색 작업자들의 기대감도 커지고 있다.작업자들은 매일 아침 묵념을 올리고 세월호 선체를 오르내리며 다짐한다고 한다.""마지막 미수습자 5명을 가족 품으로 돌려보내야 한다.""▶ 이시각 주요뉴스▶ 기자와 카톡 채팅하기▶ 노컷뉴스 영상 구독하기cla80@naver.com저작권자 ⓒ CBS 노컷뉴스 무단전재 및 재배포 금지
	
	"
"43","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
""늦었지만 축하할 결정…국회에서 대체복무 입법 노력해야""대체복무 형태에 대해서는 진보<U+2027>보수단체입장 엇갈려[CBS노컷뉴스 오수정 기자]이진성 헌법재판소장(가운데)을 비롯한 헌법재판관들이 28일 오후 서울 종로구 헌법재판소 대심판정에서 양심적 병역거부 허용 여부 선고를 하기 위해 자리에 앉고 있다. 헌재는 병역법 제88조1항1호 등과 관련한 위헌법률심판 사건과 헌법소원심판 사건에서 재판관 4(합헌)대4(일부위헌)대1(각하) 의견으로 합헌 결정했다. 다만 병역의 종류를 5가지로 구분하면서 대체복무제를 포함하지 않는 병역법 제5조1항에 대해서는 재판관 6(헌법불합치)대 3(각하) 의견으로 헌법불합치 결정하면서 2019년 12월 31일까지 개정토록 촉구했다. (사진=황진환 기자)양심적 병역거부 처벌은 합헌이지만, 대체복무제 도입이 필요하다는 헌법재판소의 결정에 기존 입장이 엇갈리던 시민단체들은 환영 입장을 밝혔다.전쟁없는세상, 국제엠네스티한국지부, 민주사회를위한변호사모임 등 시민단체는 28일 헌재 앞에서 기자회견을 열고 ""늦었지만 축하할만한 결정""이라고 논평했다. 이날 시민단체 관계자들은 헌재 판결이 난 직후 양심적 병역거부자들을 안고 환호성을 지르며 축하했다.민변 임재성 변호사는 ""헌법재판소에서 위헌 결정을 하면 병역거부자들이 바로 대체복무를 할 수 없는 상황이어서 틈새가 붕 뜨게 된다""며 ""헌법재판소가 고민 끝에 이런 결정을 했다고 생각한다""고 말했다. 임 변호사는 ""오늘 결정 이후 대체복무제 입법을 해야 하는 건 물론이고 감옥에 있는 사람들이 형집행정지를 통해 나와 잔형을 대체복무로 수행하는 것을 검토해야 할 것""이라고 주장했다.지난 2016년 병역거부를 선언한 뒤 헌법소원을 낸 홍정훈씨는 ""우리는 단지 폭력에 반대하는 것일 뿐이고 우리는 평화를 지키기 위해 이런 선택한 것""이라며 ""오늘 판결로 병역거부자들이 모두 풀려나는 건 아니지만 강력한 메시지를 던진 것이라 생각한다""고 울먹였다. 더불어민주당 박주민 의원도 ""헌재의 판결을 계기로 국회에서 대체 복무제를 마련하기 위해 노력하겠다""며 ""대체복무가 군 복무와 유사하거나 군 복무를 지원하는 형태여서는 안 될 것""이라고 강조했다.합헌을 주장해왔던 단체들도 같은 장소에서 기자회견을 열고 헌재 결정에 환영의 뜻을 밝혔다.28일 오후 서울 종로구 헌법재판소 앞에서 '양심적 병역거부 관련 헌법재판소 결정에 대한 입장발표' 기자회견 참석자들이 손피켓을 들고 구호를 외치고 있다. (사진=황진환 기자)바른군연구소 김영길 대표는 ""국민들이 공감할 수 있는 판결""이라며 ""헌재 결정은 양심적이든 종교적이든 병역거부를 처벌한다는 것""이라는 입장을 내놨다.양심적 병역거부에 대한 처벌을 합헌이라고 본 헌재 결정에 방점을 찍은 것이다.이들 단체는 하지만 2019년 말까지 대체복무제를 도입하라는 헌재 결정에 대해서는 "" 병역 밖에서 대체복무를 하게 된다면 4대 의무에 대한 훼손이 일어날 수 있다""며 ""군대 내부에서 대체복무 문제를 해결해야 한다""고 주장했다.▶ 이시각 주요뉴스▶ 기자와 카톡 채팅하기▶ 노컷뉴스 영상 구독하기crystal@cbs.co.kr저작권자 ⓒ CBS 노컷뉴스 무단전재 및 재배포 금지
	
	"
"44","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
   민선 7기 박재범 남구청장 당선인이 취임식을 대신해 주민 소통행보를 선보여 눈길을 끌고 있다.<U+00A0>새로운 남구 구청장직 인수위원회(위원장 김학진)는 내달 2일로 예정된 구청장 취임식을 생략하고 이를 주민 소통 행사로 대체 한다고 밝혔다.인수위는 민선 남구청장 중 취임식을 열지 않는 것은 이번이 처음으로 현장을 직접 찾아 주민과 소통하겠다는 것이 박재범 남구청장 당선자의 의지라고 밝혔다.인수위에 따르면 박 당선인의 취임 첫 일정은 버스 운전기사, 환경미화원과의 만남으로 시작한다. 새벽 4시 버스운전 기사들과의 인사를 시작으로 환경 미화원과 잇따라 만날 예정이다.이어 충렬사를 찾아 성역참배를 마치고 곧바로 구청을 찾아 출근하는 공무원들을 입구에서 맞을 계획이다. 부서방문 시간에는 평화, 사람, 소통을 주제로 이를 구정에 접목하기 위한 공무원들의 다양한 아이디어를 현장에서 전달 받을 계획이다.점심 시간에는 남구노인복지관을 찾아 급식봉사에 나서며 복지 일선현장에서 뛰고 있는 사회복지사를 초청해 식사와 함께 간담회를 열 예정이다.이밖에도 청년벤처기업 육성 공간으로 활용되고 있는 남구청년발전소를 찾아 관내 대학생 및 청년과 함께 토론의 시간도 가진다.인수위원회 관계자는 ""이번 취임식 행사는 겉치레는 버리고 현장 중심의 구정운영을 하겠다는 당선인의 철학이 담겨 있다""며 ""취임식을 시작으로 다양한 주민들과 함께하는 소통 정책들이 펼쳐질 계획이다""고 밝혔다.한편, 남구 구청장직 인수위원회는 28일 남구 슬로건을 '평화가 미래다, 사람이 희망이다'(부제: 새로운 백년의 비전, 세계평화특구 남구)로 정하고 활동 결과 보고서를 공개 했다.<U+00A0>보고서에는 당선자의 핵심 공약 이행 방안부터 도시계획, 주거환경, 교육, 복지, 문화 등 인수위 기간 동안 토론을 통해 도출된 추가 공약 내용도 포함하고 있다.디지털본부<U+00A0> news@busan.com"
"45","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
전남도, 28일 100억 규모 투자조합 결성··기업당 최대 20억 투자[광주CBS 김형로 기자]전라남도가 28일 서울 보광창업투자 (주) 회의실에서 전남-보광 청년창업투자조합 결성총회를 열고 본격적인 '전남 청년펀드' 운용에 들어갔다.이날 총회에서 조합원인 전라남도와 한국 모태펀드, 운용사인 보광창업투자 (주)는 운영 규약을 제정하고 앞으로 투자 계획을 확정했다.이로써 청년펀드 투자 준비를 모두 마쳤다. 올해부터 10년 동안 ICT(정보통신), 헬스케어, 농수산, 친환경 분야 유망 청년 기업들을 적극적으로 발굴해 투자할 방침이다.주요 투자 대상은 대표이사가 만 39세 이하 또는 만 39세 이하 임직원 비중이 50% 이상인 청년기업이다. 기술력에 따른 기업 가치에 따라 기업당 최대 20억을 투자한다.전남 청년펀드는 중소벤처기업부 모태펀드 출자 공모사업에 선정돼 총 100억 원 규모로 결성됐다. 기관별 출자 규모는 모태펀드 60억 원, 전라남도 30억 원, 운용사 10억 원이다.▶ 이시각 주요뉴스▶ 기자와 카톡 채팅하기▶ 노컷뉴스 영상 구독하기khn5029@hanmail.net저작권자 ⓒ CBS 노컷뉴스 무단전재 및 재배포 금지
	
	"
"46","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
최근 방송에서 소개된 류연우 박사의 수학의 본질을 꿰뚫는 수학교육법이 수학교육업계에서 알려지고 있다. 류박사는 ‘수학언어를 이해하라<U+2013>우리 아이 수포자가 되지 않는 교육법’이라는 주제로 학부모 및 교사들에게 지난 30년간의 수학교육법 연구를 담은 강연을 선보였다.류연우 박사는 방송을 통해 많은 사교육업체들이 범하고 있는 잘못된 방식의 선행학습, 문제풀이 위주, 어려서부터 점수에 연연하는 교육이 아니라, 아이가 수학을 재미있어하고 수학에 대한 자신감을 키워주는 수학 교육을 할 것을 당부했다.류 박사는 ""어려서부터 수학 언어를 이해하고, 초등 과정이 중, 고등 과정과 어떻게 하나의 흐름으로 연결되는지를 이해하는 통합적 수학 사고력이 필수적이다""고 강조했다.또한 방송을 통해 초등 개념만을 가지고 대입수능문제들을 학부모들과 함께 해결하면서, 수학은 결코 어렵거나 복잡한 공식과 문제 유형을 외우는 것이 아닌, 언어적으로 이해해야 하는 학문임을 설명했다.한편 류연우 박사의 ‘수학 언어’ 학습법은 현재 ‘수학여우’ 브랜드를 통해 체계적인 커리큘럼과 수업시스템으로 구현되고 있다.전체 200세트에 다다르는 체계적인 교육 컨텐츠를 통해 초등 때부터 아이들이 통합적인 사고력과 수학언어를 배울 수 있게 했으며, 최근 수학언어 프로그램을 마친 아이들의 결과를 통해 전국적으로 교육원이 확산되는 중이다.교육 및 가맹 관련 문의는 수학여우 홈페이지 방문을 통해 가능하다.< Copyright ⓒ MBN(www.mbn.co.kr) 무단전재 및 재배포 금지 >
	
	"
